pixel_id,band_02_blue,band_03_green,band_04_red,band_08_nir,land_cover_class
PX-489,0.0768,0.0482,0.2918,0.1242,Urban
PX-490,0.0859,0.2072,0.0359,0.6939,Forest
PX-491,0.0497,0.1761,0.0644,0.631,Forest
PX-492,0.1095,0.1501,0.1186,0.6807,Crops
PX-493,0.0566,0.1375,0.1143,0.6289,Crops
PX-494,0.0843,0.2144,0.0587,0.6729,Forest
PX-495,0.0581,0.1691,0.1052,0.6456,Crops
PX-496,0.0682,0.2585,0.0431,0.7113,Forest
PX-497,0.0633,0.1601,0.1224,0.5976,Crops
PX-498,0.0678,0.0416,0.27,0.0287,Urban
PX-499,0.0692,0.0487,0.2934,0.1115,Urban
PX-500,0.239,0.0649,0.0874,0.1387,Water
PX-501,0.0967,0.1906,0.0349,0.6761,Forest
PX-502,0.0579,0.1922,0.0867,0.6993,Crops
PX-503,0.0844,0.0404,0.24,0.1375,Urban
PX-504,0.2744,0.0324,0.047,0.0974,Water
PX-505,0.0697,0.144,0.1067,0.557,Crops
PX-506,0.0656,0.0155,0.2842,0.1105,Urban
PX-507,0.0754,0.0496,0.2827,0.1611,Urban
PX-508,0.1036,0.054,0.2479,0.1043,Urban
PX-509,0.2539,0.0474,0.0137,0.1211,Water
PX-510,0.0694,0.2249,0.0559,0.6869,Forest
PX-511,0.0897,0.2246,0.0527,0.6294,Forest
PX-512,0.058,0.0533,0.2715,0.1449,Urban
PX-513,0.0936,0.0241,0.2469,0.1855,Urban
PX-514,0.0882,0.1687,0.1294,0.6431,Crops
PX-515,0.0738,0.168,0.1454,0.6048,Crops
PX-516,0.0632,0.1669,0.1256,0.6473,Crops
PX-517,0.0623,0.046,0.2631,0.031,Urban
PX-518,0.0907,0.0469,0.2809,0.1335,Urban
PX-519,0.1046,0.1723,0.0927,0.6681,Crops
PX-520,0.0673,0.1873,0.0712,0.737,Forest
PX-521,0.0892,0.1842,0.1216,0.6422,Crops
PX-522,0.0383,0.0672,0.2446,0.1363,Urban
PX-523,0.0683,0.0418,0.274,0.0855,Urban
PX-524,0.0794,0.0854,0.2893,0.1057,Urban
PX-525,0.0618,0.1804,0.0433,0.609,Forest
PX-526,0.0613,0.1676,0.0445,0.6622,Forest
PX-527,0.0666,0.1876,0.0955,0.6378,Crops
PX-528,0.0858,0.1637,0.1313,0.662,Crops
PX-529,0.0763,0.0664,0.267,0.0951,Urban
PX-530,0.0352,0.0119,0.2369,0.1233,Urban
PX-531,0.0376,0.0878,0.2726,0.1067,Urban
PX-532,0.0679,0.0734,0.2996,0.1067,Urban
PX-533,0.0892,0.17,0.0423,0.6732,Forest
PX-534,0.195,0.0304,0.0848,0.1216,Water
PX-535,0.07,0.0934,0.2886,0.1504,Urban
PX-536,0.0695,0.0453,0.2868,0.1152,Urban
PX-537,0.1078,0.1633,0.1174,0.636,Crops
PX-538,0.0723,0.1547,0.0486,0.6628,Forest
PX-539,0.0877,0.173,0.1147,0.6214,Crops
PX-540,0.0828,0.0554,0.274,0.1056,Urban
PX-541,0.0374,0.2143,0.0606,0.7512,Forest
PX-542,0.0954,0.152,0.1013,0.6135,Crops
PX-543,0.2543,0.0296,0.0285,0.1089,Water
PX-544,0.0902,0.209,0.0275,0.6545,Forest
PX-545,0.1585,0.2001,0.1609,0.6401,Crops
PX-546,0.0383,0.1486,0.1306,0.6368,Crops
PX-547,0.2845,0.0816,0.0561,0.1312,Water
PX-548,0.0743,0.2008,0.0288,0.6016,Forest
PX-549,0.2557,0.0818,0.0625,0.1615,Water
PX-550,0.0791,0.1986,0.0477,0.6953,Forest
PX-551,0.0715,0.01,0.2843,0.0703,Urban
PX-552,0.0686,0.197,0.0305,0.5792,Forest
PX-553,0.0866,0.2212,0.0532,0.6309,Forest
PX-554,0.0497,0.0421,0.2715,0.1103,Urban
PX-555,0.095,0.1922,0.0347,0.7732,Forest
PX-556,0.0717,0.1765,0.1347,0.6717,Crops
PX-557,0.0574,0.122,0.0892,0.5777,Crops
PX-558,0.241,0.0934,0.0613,0.0924,Water
PX-559,0.1051,0.182,0.0637,0.6679,Forest
PX-560,0.2393,0.0701,0.0324,0.1301,Water
PX-561,0.0872,0.1783,0.1036,0.5974,Crops
PX-562,0.0654,0.2052,0.1155,0.6446,Crops
PX-563,0.0952,0.1881,0.1256,0.6213,Crops
PX-564,0.0937,0.1753,0.1169,0.6058,Crops
PX-565,0.117,0.1821,0.0587,0.6804,Forest
PX-566,0.0765,0.196,0.1553,0.681,Crops
PX-567,0.0934,0.1625,0.0398,0.7036,Forest
PX-568,0.082,0.0729,0.2457,0.143,Urban
PX-569,0.1059,0.158,0.1365,0.6301,Crops
PX-570,0.0656,0.225,0.0837,0.6986,Forest
PX-571,0.2649,0.0632,0.0579,0.1324,Water
PX-572,0.0761,0.1929,0.0982,0.6554,Crops
PX-573,0.0787,0.2016,0.0475,0.6455,Forest
PX-574,0.0818,0.025,0.2576,0.1001,Urban
PX-575,0.085,0.0428,0.2929,0.123,Urban
PX-576,0.0777,0.1934,0.093,0.7476,Crops
PX-577,0.0843,0.0633,0.274,0.132,Urban
PX-578,0.1116,0.2236,0.0299,0.6456,Forest
PX-579,0.0997,0.1881,0.1225,0.6167,Crops
PX-580,0.0974,0.1807,0.0427,0.6503,Forest
PX-581,0.0709,0.0441,0.2835,0.2071,Urban
PX-582,0.0622,0.2021,0.0504,0.654,Forest
PX-583,0.0991,0.1337,0.1003,0.6863,Crops
PX-584,0.0975,0.2335,0.0625,0.655,Forest
PX-585,0.1095,0.1888,0.119,0.6604,Crops
PX-586,0.0679,0.2045,0.1002,0.6817,Crops
PX-587,0.0754,0.1484,0.1648,0.6271,Crops
PX-588,0.0472,0.2049,0.1295,0.6244,Crops
PX-589,0.0722,0.2246,0.1169,0.7164,Crops
PX-590,0.0999,0.1536,0.1483,0.6894,Crops
PX-591,0.0707,0.2154,0.0868,0.7016,Forest
PX-592,0.0928,0.18,0.1171,0.6815,Crops
PX-593,0.0762,0.1491,0.1269,0.6684,Crops
PX-594,0.0865,0.0699,0.2602,0.2007,Urban
PX-595,0.057,0.2167,0.0471,0.6718,Forest
PX-596,0.2517,0.048,0.046,0.1431,Water
PX-597,0.0202,0.2033,0.1237,0.592,Crops
PX-598,0.0763,0.1467,0.1267,0.617,Crops
PX-599,0.0474,0.1501,0.1312,0.602,Crops
PX-600,0.1041,0.1827,0.1248,0.701,Crops
PX-601,0.0955,0.1805,0.0958,0.5479,Crops
PX-602,0.0893,0.1657,0.1012,0.6339,Crops
PX-603,0.1104,0.1962,0.1091,0.5303,Crops
PX-604,0.061,0.1906,0.1144,0.6167,Crops
PX-605,0.1149,0.2172,0.071,0.6504,Forest
PX-606,0.0986,0.1775,0.0967,0.7054,Crops
PX-607,0.0753,0.1921,0.1129,0.6659,Crops
PX-608,0.1027,0.1911,0.0691,0.6367,Forest
PX-609,0.2279,0.1011,0.044,0.1626,Water
PX-610,0.0635,0.1637,0.1292,0.6507,Crops
PX-611,0.2378,0.1021,0.0472,0.1215,Water
PX-612,0.0694,0.2007,0.0551,0.6219,Forest
PX-613,0.0589,0.1525,0.1154,0.6104,Crops
PX-614,0.1045,0.0874,0.2933,0.087,Urban
PX-615,0.0748,0.0625,0.2491,0.1219,Urban
PX-616,0.0871,0.197,0.1127,0.6531,Crops
PX-617,0.0686,0.2045,0.1259,0.7118,Crops
PX-618,0.0436,0.0668,0.2907,0.1354,Urban
PX-619,0.2554,0.0482,0.0799,0.0117,Water
PX-620,0.0418,0.1995,0.1122,0.6605,Crops
PX-621,0.0786,0.18,0.1496,0.592,Crops
PX-622,0.0526,0.1937,0.1068,0.6114,Crops
PX-623,0.1197,0.1569,0.0766,0.6375,Forest
PX-624,0.0982,0.2089,0.0663,0.6435,Forest
PX-625,0.0821,0.1672,0.1017,0.595,Crops
PX-626,0.1053,0.2331,0.0561,0.6781,Forest
PX-627,0.2331,0.0725,0.049,0.0636,Water
PX-628,0.0909,0.1848,0.1325,0.6643,Crops
PX-629,0.084,0.1897,0.1155,0.7395,Crops
PX-630,0.2553,0.04,0.0439,0.0668,Water
PX-631,0.1054,0.0925,0.3074,0.1086,Urban
PX-632,0.0946,0.2398,0.048,0.5691,Forest
PX-633,0.0858,0.2079,0.0665,0.658,Forest
PX-634,0.0469,0.2118,0.1155,0.6757,Crops
PX-635,0.0608,0.1886,0.0833,0.6988,Forest
PX-636,0.0775,0.1841,0.0364,0.6731,Forest
PX-637,0.0819,0.1808,0.1077,0.6856,Crops
PX-638,0.0574,0.1887,0.1505,0.7518,Crops
PX-639,0.1282,0.1721,0.1111,0.7185,Crops
PX-640,0.1103,0.1908,0.152,0.6291,Crops
PX-641,0.092,0.1861,0.1378,0.592,Crops
PX-642,0.0814,0.16,0.1169,0.6338,Crops
PX-643,0.0758,0.1904,0.0837,0.6121,Crops
PX-644,0.061,0.1973,0.1196,0.6681,Crops
PX-645,0.0815,0.0634,0.282,0.0728,Urban
PX-646,0.0852,0.2231,0.0733,0.6671,Forest
PX-647,0.2252,0.0357,0.0818,0.1535,Water
PX-648,0.2567,0.0694,0.0363,0.116,Water
PX-649,0.0769,0.1766,0.066,0.6321,Forest
PX-650,0.0418,0.1577,0.1353,0.697,Crops
PX-651,0.0628,0.1874,0.0715,0.5948,Forest
PX-652,0.0717,0.1812,0.06,0.6569,Forest
PX-653,0.2878,0.049,0.0112,0.1183,Water
PX-654,0.0911,0.1957,0.0469,0.6706,Forest
PX-655,0.0533,0.1967,0.0969,0.6572,Crops
PX-656,0.0897,0.1736,0.1159,0.6744,Crops
PX-657,0.0491,0.1483,0.1396,0.6486,Crops
PX-658,0.1017,0.2228,0.0561,0.6553,Forest
PX-659,0.0706,0.1833,0.073,0.6537,Forest
PX-660,0.0781,0.1788,0.1268,0.6255,Crops
PX-661,0.1065,0.0689,0.254,0.1515,Urban
PX-662,0.0543,0.204,0.01,0.6441,Forest
PX-663,0.0521,0.2019,0.123,0.6839,Crops
PX-664,0.0683,0.1896,0.1157,0.6508,Crops
PX-665,0.1008,0.1628,0.1005,0.6291,Crops
PX-666,0.0496,0.2236,0.086,0.6747,Crops
PX-667,0.0234,0.1839,0.1053,0.6209,Crops
PX-668,0.071,0.1771,0.1161,0.6755,Crops
PX-669,0.091,0.1993,0.1333,0.6585,Crops
PX-670,0.104,0.185,0.1238,0.6261,Crops
PX-671,0.0707,0.068,0.3122,0.1411,Urban
PX-672,0.0718,0.2298,0.0993,0.6719,Crops
PX-673,0.1031,0.1945,0.0676,0.7163,Forest
PX-674,0.0426,0.1936,0.0509,0.7086,Forest
PX-675,0.0722,0.0623,0.2939,0.1397,Urban
PX-676,0.0838,0.2014,0.1113,0.6049,Crops
PX-677,0.089,0.1499,0.1414,0.7479,Crops
PX-678,0.0698,0.0207,0.2859,0.0639,Urban
PX-679,0.0807,0.0483,0.2664,0.158,Urban
PX-680,0.0302,0.0273,0.2798,0.1373,Urban
PX-681,0.0668,0.1715,0.1152,0.603,Crops
PX-682,0.0891,0.19,0.1298,0.645,Crops
PX-683,0.2304,0.0422,0.0264,0.1168,Water
PX-684,0.0812,0.0315,0.2794,0.1722,Urban
PX-685,0.0889,0.2014,0.0579,0.6415,Forest
PX-686,0.0731,0.2173,0.0507,0.6595,Forest
PX-687,0.0834,0.1461,0.1469,0.5566,Crops
PX-688,0.2307,0.0764,0.0655,0.1894,Water
PX-689,0.0759,0.1963,0.1199,0.6072,Crops
PX-690,0.0922,0.1991,0.1243,0.6631,Crops
PX-691,0.0831,0.2244,0.0559,0.6659,Forest
PX-692,0.0683,0.244,0.0581,0.6661,Forest
PX-693,0.0845,0.1729,0.0835,0.6824,Crops
PX-694,0.0943,0.1822,0.114,0.7169,Crops
PX-695,0.039,0.1917,0.0203,0.6801,Forest
PX-696,0.1032,0.18,0.1456,0.6762,Crops
PX-697,0.0733,0.2307,0.0488,0.6832,Forest
PX-698,0.0885,0.1531,0.1161,0.6907,Crops
PX-699,0.1039,0.1828,0.0679,0.6515,Forest
PX-700,0.0526,0.2275,0.0584,0.713,Forest
PX-701,0.0658,0.2004,0.0974,0.6944,Crops
PX-702,0.0742,0.1727,0.1186,0.6933,Crops
PX-703,0.0643,0.1971,0.1133,0.6236,Crops
PX-704,0.1147,0.1868,0.0851,0.6433,Crops
PX-705,0.0629,0.09,0.2662,0.1296,Urban
PX-706,0.0689,0.1815,0.1163,0.5952,Crops
PX-707,0.0841,0.0805,0.2777,0.1838,Urban
PX-708,0.056,0.2328,0.0904,0.6495,Crops
PX-709,0.2421,0.072,0.073,0.1314,Water
PX-710,0.2563,0.061,0.048,0.0969,Water
PX-711,0.0733,0.2144,0.0508,0.6169,Forest
PX-712,0.0781,0.1927,0.058,0.6458,Forest
PX-713,0.0694,0.2478,0.0342,0.6788,Forest
PX-714,0.0497,0.1836,0.1291,0.6769,Crops
PX-715,0.0864,0.0545,0.2727,0.1265,Urban
PX-716,0.1151,0.0433,0.2621,0.1339,Urban
PX-717,0.0804,0.0819,0.2915,0.1065,Urban
PX-718,0.0845,0.1973,0.1498,0.6698,Crops
PX-719,0.2639,0.0501,0.0645,0.1793,Water
PX-720,0.0546,0.0715,0.2985,0.1482,Urban
PX-721,0.1141,0.1498,0.1096,0.6824,Crops
PX-722,0.084,0.1837,0.088,0.6618,Crops
PX-723,0.2826,0.0691,0.0798,0.0599,Water
PX-724,0.0653,0.2341,0.0911,0.6282,Forest
PX-725,0.1164,0.0446,0.3109,0.1382,Urban
PX-726,0.0955,0.1544,0.1133,0.6496,Crops
PX-727,0.2611,0.0421,0.0269,0.1376,Water
PX-728,0.0847,0.1533,0.0987,0.7171,Crops
PX-729,0.075,0.2067,0.0863,0.679,Crops
PX-730,0.104,0.211,0.1179,0.7004,Crops
PX-731,0.0828,0.0664,0.3121,0.1238,Urban
PX-732,0.2107,0.0844,0.0472,0.0877,Water
PX-733,0.0577,0.2027,0.056,0.6677,Forest
PX-734,0.0763,0.1781,0.1475,0.6178,Crops
PX-735,0.0862,0.0533,0.2719,0.1823,Urban
PX-736,0.0789,0.1738,0.1607,0.6816,Crops
PX-737,0.1044,0.029,0.3198,0.1408,Urban
PX-738,0.041,0.2053,0.0474,0.7194,Forest
PX-739,0.0829,0.1792,0.1084,0.5692,Crops
PX-740,0.0436,0.2149,0.0639,0.6935,Forest
PX-741,0.0952,0.1819,0.113,0.5976,Crops
PX-742,0.2481,0.0567,0.0269,0.1197,Water
PX-743,0.0884,0.1826,0.0756,0.6575,Forest
PX-744,0.0627,0.1814,0.1443,0.6765,Crops
PX-745,0.1056,0.0748,0.2831,0.1291,Urban
PX-746,0.1008,0.1571,0.0947,0.7038,Crops
PX-747,0.0917,0.2017,0.0254,0.6459,Forest
PX-748,0.0774,0.0647,0.2821,0.1484,Urban
PX-749,0.0916,0.1856,0.04,0.6765,Forest
PX-750,0.0659,0.1682,0.1132,0.5846,Crops
PX-751,0.0971,0.0646,0.3004,0.0833,Urban
PX-752,0.113,0.1773,0.0647,0.664,Forest
PX-753,0.1014,0.187,0.1476,0.6945,Crops
PX-754,0.0654,0.1621,0.1002,0.6685,Crops
PX-755,0.2572,0.0813,0.0431,0.0733,Water
PX-756,0.0541,0.2468,0.0652,0.6644,Forest
PX-757,0.0914,0.1828,0.059,0.7507,Forest
PX-758,0.089,0.0707,0.3106,0.1244,Urban
PX-759,0.2126,0.0455,0.0584,0.1069,Water
PX-760,0.0568,0.2008,0.157,0.6697,Crops
PX-761,0.0743,0.1547,0.1308,0.6805,Crops
PX-762,0.074,0.1896,0.1412,0.6318,Crops
PX-763,0.2258,0.0425,0.0435,0.1401,Water
PX-764,0.0878,0.1759,0.1203,0.6368,Crops
PX-765,0.085,0.1794,0.0682,0.6988,Forest
PX-766,0.2461,0.0764,0.0823,0.1268,Water
PX-767,0.0649,0.0433,0.2946,0.1393,Urban
PX-768,0.101,0.191,0.1183,0.6196,Crops
PX-769,0.1131,0.0531,0.3075,0.0871,Urban
PX-770,0.0703,0.1777,0.0762,0.6878,Crops
PX-771,0.0678,0.063,0.2516,0.1168,Urban
PX-772,0.0898,0.1648,0.1336,0.6614,Crops
PX-773,0.0728,0.1842,0.1203,0.6377,Crops
PX-774,0.2472,0.0906,0.0621,0.1559,Water
PX-775,0.0948,0.1644,0.1213,0.6257,Crops
PX-776,0.0418,0.2034,0.1314,0.6446,Crops
PX-777,0.2764,0.09,0.0337,0.1514,Water
PX-778,0.2515,0.0437,0.0614,0.1669,Water
PX-779,0.0718,0.1709,0.0699,0.649,Forest
PX-780,0.2482,0.066,0.0744,0.1984,Water
PX-781,0.0792,0.1891,0.0903,0.6825,Forest
PX-782,0.0454,0.2174,0.1249,0.6083,Crops
PX-783,0.1099,0.1807,0.1255,0.6648,Crops
PX-784,0.0808,0.164,0.0895,0.6347,Crops
PX-785,0.0889,0.0371,0.2694,0.1374,Urban
PX-786,0.099,0.2218,0.0461,0.6683,Forest
PX-787,0.0596,0.1886,0.071,0.673,Forest
PX-788,0.0895,0.2009,0.0378,0.6335,Forest
PX-789,0.0746,0.0791,0.2959,0.1596,Urban
PX-790,0.0969,0.1703,0.12,0.6038,Crops
PX-791,0.0375,0.1991,0.0465,0.6256,Forest
PX-792,0.078,0.1997,0.055,0.6847,Forest
PX-793,0.0679,0.2137,0.0422,0.7341,Forest
PX-794,0.0886,0.1918,0.1114,0.6359,Crops
PX-795,0.0894,0.0556,0.2459,0.148,Urban
PX-796,0.0658,0.0613,0.275,0.1629,Urban
PX-797,0.0658,0.1926,0.0404,0.7026,Forest
PX-798,0.2478,0.0304,0.0397,0.1076,Water
PX-799,0.0621,0.0652,0.2883,0.0764,Urban
PX-800,0.2668,0.0978,0.0632,0.0317,Water
PX-801,0.0726,0.1623,0.1246,0.6395,Crops
PX-802,0.0219,0.1845,0.0699,0.7171,Forest
PX-803,0.0725,0.1826,0.0615,0.625,Forest
PX-804,0.0592,0.2145,0.0441,0.698,Forest
PX-805,0.2174,0.069,0.0407,0.082,Water
PX-806,0.0553,0.0568,0.2863,0.1242,Urban
PX-807,0.0822,0.0416,0.2915,0.1483,Urban
PX-808,0.1066,0.2018,0.078,0.6436,Forest
PX-809,0.0863,0.1487,0.1438,0.6568,Crops
PX-810,0.0679,0.0629,0.2692,0.1034,Urban
PX-811,0.0891,0.0774,0.278,0.1482,Urban
PX-812,0.0708,0.155,0.1334,0.6594,Crops
PX-813,0.0661,0.0293,0.3014,0.1223,Urban
PX-814,0.0569,0.0916,0.2988,0.1823,Urban
PX-815,0.045,0.1878,0.0487,0.6965,Forest
PX-816,0.0722,0.2227,0.0249,0.6424,Forest
PX-817,0.0832,0.1769,0.1,0.6466,Crops
PX-818,0.0781,0.1768,0.1255,0.647,Crops
PX-819,0.0717,0.1888,0.1268,0.6532,Crops
PX-820,0.0611,0.0423,0.258,0.221,Urban
PX-821,0.0922,0.1826,0.1209,0.6648,Crops
PX-822,0.0537,0.1724,0.1326,0.5686,Crops
PX-823,0.0955,0.1536,0.097,0.6283,Crops
PX-824,0.06,0.2067,0.0721,0.5927,Forest
PX-825,0.065,0.0547,0.2724,0.1068,Urban
PX-826,0.0507,0.1769,0.1452,0.5705,Crops
PX-827,0.07,0.1558,0.1093,0.6151,Crops
PX-828,0.2695,0.0918,0.0295,0.0592,Water
PX-829,0.0903,0.2175,0.0408,0.6854,Forest
PX-830,0.0996,0.1993,0.1181,0.65,Crops
PX-831,0.0904,0.1939,0.0422,0.6821,Forest
PX-832,0.0579,0.1454,0.1157,0.6458,Crops
PX-833,0.0734,0.2191,0.1267,0.5942,Crops
PX-834,0.0644,0.1988,0.0466,0.6905,Forest
PX-835,0.1066,0.185,0.0487,0.7469,Forest
PX-836,0.0561,0.0683,0.2458,0.1364,Urban
PX-837,0.0979,0.2033,0.1278,0.633,Crops
PX-838,0.0979,0.1995,0.0482,0.6129,Forest
PX-839,0.1166,0.2256,0.0822,0.6337,Forest
PX-840,0.0718,0.2017,0.1012,0.6681,Crops
PX-841,0.2642,0.0385,0.0138,0.1629,Water
PX-842,0.1256,0.1665,0.1324,0.6604,Crops
PX-843,0.0676,0.0792,0.2869,0.152,Urban
PX-844,0.0493,0.1257,0.0998,0.6783,Crops
PX-845,0.0424,0.197,0.0194,0.6903,Forest
PX-846,0.0943,0.1514,0.1507,0.6237,Crops
PX-847,0.0423,0.0505,0.3083,0.127,Urban
PX-848,0.0726,0.194,0.01,0.6361,Forest
PX-849,0.0887,0.1928,0.0408,0.6707,Forest
PX-850,0.0837,0.169,0.1533,0.6632,Crops
PX-851,0.2585,0.0381,0.0405,0.1872,Water
PX-852,0.0844,0.2258,0.1102,0.5976,Crops
PX-853,0.1056,0.0973,0.2743,0.1393,Urban
PX-854,0.061,0.1568,0.0976,0.7092,Crops
PX-855,0.0665,0.2116,0.0859,0.6804,Crops
PX-856,0.0645,0.172,0.1411,0.6833,Crops
PX-857,0.0966,0.2026,0.0131,0.6935,Forest
PX-858,0.098,0.1987,0.0549,0.7219,Forest
PX-859,0.089,0.1668,0.1377,0.6065,Crops
PX-860,0.2737,0.0797,0.021,0.0646,Water
PX-861,0.0564,0.2025,0.0315,0.6697,Forest
PX-862,0.1133,0.1905,0.0743,0.5836,Forest
PX-863,0.1105,0.1739,0.0607,0.7192,Forest
PX-864,0.0947,0.1821,0.0377,0.7188,Forest
PX-865,0.1156,0.1672,0.074,0.6527,Forest
PX-866,0.0469,0.1802,0.1441,0.6352,Crops
PX-867,0.0695,0.1561,0.1254,0.6471,Crops
PX-868,0.0653,0.0547,0.262,0.1221,Urban
PX-869,0.0944,0.0874,0.2717,0.1251,Urban
PX-870,0.059,0.204,0.1257,0.6723,Crops
PX-871,0.0951,0.1794,0.1162,0.6431,Crops
PX-872,0.1074,0.1983,0.0688,0.7077,Forest
PX-873,0.0939,0.2376,0.0194,0.6878,Forest
PX-874,0.0857,0.1904,0.0901,0.6257,Crops
PX-875,0.0602,0.1734,0.1236,0.7034,Crops
PX-876,0.2331,0.0315,0.0402,0.0657,Water
PX-877,0.275,0.0679,0.0375,0.1163,Water
PX-878,0.0956,0.1966,0.0846,0.6887,Crops
PX-879,0.0792,0.1674,0.1204,0.6211,Crops
PX-880,0.0716,0.1858,0.1189,0.6624,Crops
PX-881,0.2095,0.0527,0.0631,0.1417,Water
PX-882,0.0586,0.1763,0.1214,0.6156,Crops
PX-883,0.1182,0.1302,0.1173,0.6471,Crops
PX-884,0.2244,0.0556,0.0735,0.1137,Water
PX-885,0.0838,0.1994,0.0938,0.6279,Crops
PX-886,0.2701,0.0474,0.0607,0.2121,Water
PX-887,0.0549,0.1811,0.0866,0.6195,Crops
PX-888,0.0837,0.1649,0.1032,0.6902,Crops
PX-889,0.0988,0.1872,0.0957,0.6343,Crops
PX-890,0.2502,0.0557,0.0656,0.0765,Water
PX-891,0.1374,0.0412,0.2787,0.1241,Urban
PX-892,0.0466,0.0867,0.2797,0.146,Urban
PX-893,0.1012,0.1986,0.0979,0.6868,Crops
PX-894,0.2465,0.0479,0.044,0.1825,Water
PX-895,0.0954,0.19,0.1047,0.7678,Crops
PX-896,0.0888,0.1907,0.1277,0.66,Crops
PX-897,0.0653,0.0728,0.2602,0.0935,Urban
PX-898,0.0846,0.1461,0.1466,0.6681,Crops
PX-899,0.0428,0.2001,0.0865,0.6394,Crops
PX-900,0.0921,0.1686,0.1039,0.687,Crops
PX-901,0.086,0.1728,0.1535,0.5981,Crops
PX-902,0.0928,0.2328,0.1113,0.7447,Crops
PX-903,0.1012,0.206,0.0237,0.7042,Forest
PX-904,0.0874,0.1923,0.0544,0.6026,Forest
PX-905,0.083,0.0159,0.2705,0.0916,Urban
PX-906,0.0624,0.0878,0.2633,0.1526,Urban
PX-907,0.0658,0.1531,0.0981,0.6971,Crops
PX-908,0.1037,0.1599,0.1754,0.5991,Crops
PX-909,0.1087,0.1734,0.115,0.6785,Crops
PX-910,0.0752,0.2283,0.0115,0.5921,Forest
PX-911,0.0809,0.1955,0.1499,0.6464,Crops
PX-912,0.0619,0.1968,0.0622,0.7145,Forest
PX-913,0.1035,0.2062,0.0347,0.6479,Forest
PX-914,0.0933,0.188,0.0313,0.6097,Forest
PX-915,0.1188,0.2028,0.0635,0.6758,Forest
PX-916,0.0624,0.1815,0.1151,0.6258,Crops
PX-917,0.0724,0.0794,0.2415,0.1452,Urban
PX-918,0.2546,0.0793,0.0857,0.0846,Water
PX-919,0.0929,0.1899,0.1113,0.6191,Crops
PX-920,0.0757,0.0528,0.3099,0.0392,Urban
PX-921,0.0625,0.2148,0.0756,0.6768,Forest
PX-922,0.0976,0.0582,0.26,0.1136,Urban
PX-923,0.2644,0.0384,0.0707,0.0725,Water
PX-924,0.0617,0.1919,0.037,0.6778,Forest
PX-925,0.1071,0.1817,0.0827,0.6911,Crops
PX-926,0.1034,0.1982,0.1115,0.6414,Crops
PX-927,0.0827,0.1963,0.058,0.6807,Forest
PX-928,0.0816,0.1758,0.0407,0.6809,Forest
PX-929,0.0911,0.1811,0.1139,0.6018,Crops
PX-930,0.0628,0.1823,0.1429,0.7323,Crops
PX-931,0.0806,0.0637,0.2821,0.1012,Urban
PX-932,0.037,0.0784,0.2631,0.1462,Urban
PX-933,0.0975,0.2204,0.064,0.7008,Forest
PX-934,0.0488,0.1681,0.124,0.6444,Crops
PX-935,0.1101,0.1677,0.0696,0.6743,Crops
PX-936,0.0734,0.1592,0.1286,0.6598,Crops
PX-937,0.0758,0.074,0.2878,0.0633,Urban
PX-938,0.0674,0.209,0.1204,0.6367,Crops
PX-939,0.0742,0.1937,0.0678,0.6455,Forest
PX-940,0.1084,0.1752,0.1066,0.6315,Crops
PX-941,0.0302,0.2293,0.0567,0.6178,Forest
PX-942,0.2755,0.0701,0.0187,0.1651,Water
PX-943,0.0868,0.0687,0.2881,0.1841,Urban
PX-944,0.0559,0.1562,0.1591,0.6891,Crops
PX-945,0.0585,0.1936,0.1001,0.7008,Crops
PX-946,0.1135,0.1614,0.1048,0.6362,Crops
PX-947,0.0611,0.0373,0.2658,0.0945,Urban
PX-948,0.0569,0.0531,0.2826,0.0889,Urban
PX-949,0.1027,0.1883,0.0287,0.6958,Forest
PX-950,0.0868,0.1956,0.0584,0.6791,Forest
PX-951,0.2312,0.0312,0.0669,0.1169,Water
PX-952,0.0843,0.1992,0.1307,0.7018,Crops
PX-953,0.0595,0.0826,0.2446,0.1362,Urban
PX-954,0.102,0.1611,0.0699,0.6365,Forest
PX-955,0.1012,0.1996,0.1387,0.6228,Crops
PX-956,0.0906,0.1838,0.0666,0.6973,Forest
PX-957,0.0872,0.1971,0.1275,0.6917,Crops
PX-958,0.1152,0.1786,0.1244,0.6721,Crops
PX-959,0.25,0.0606,0.0706,0.1959,Water
PX-960,0.0564,0.1763,0.1585,0.7154,Crops
PX-961,0.089,0.2242,0.0309,0.6876,Forest
PX-962,0.1217,0.1552,0.1416,0.6165,Crops
PX-963,0.0597,0.1922,0.1183,0.5976,Crops
PX-964,0.0728,0.202,0.1174,0.6345,Crops
PX-965,0.0883,0.1943,0.0893,0.6801,Crops
PX-966,0.2489,0.1065,0.0443,0.1931,Water
PX-967,0.0604,0.1694,0.1001,0.6667,Crops
PX-968,0.1024,0.2191,0.0407,0.7167,Forest
PX-969,0.1264,0.1979,0.028,0.6602,Forest
PX-970,0.2539,0.0847,0.041,0.1449,Water
PX-971,0.0619,0.0598,0.2719,0.1529,Urban
PX-972,0.219,0.0522,0.0519,0.0408,Water
PX-973,0.0852,0.2061,0.0877,0.6335,Crops
PX-974,0.1021,0.1702,0.0911,0.688,Crops
PX-975,0.0895,0.1517,0.1272,0.661,Crops
PX-976,0.08,0.1897,0.0341,0.6221,Forest
PX-977,0.0682,0.1924,0.1415,0.5528,Crops
PX-978,0.0582,0.2278,0.0545,0.6554,Forest
