property_id,square_footage,bedrooms,bathrooms,year_built,distance_to_transit_km,school_rating,visual_aesthetic_score,interior_modernity_index,valuation_usd
PROP-10403,2130,3,2,1954,3.65,5,1.29,0.63,806400
PROP-10404,1807,4,3,2004,1.46,4,6.82,0.9,922500
PROP-10405,2504,5,4,1979,5.29,2,5.99,0.43,1080100
PROP-10406,1406,2,1,1978,3.0,3,7.0,0.68,683400
PROP-10407,2007,4,3,1975,14.76,10,9.37,0.31,1040300
PROP-10408,2178,4,3,1975,1.0,2,7.19,0.6,925900
PROP-10409,2434,3,3,1986,0.29,10,3.88,0.81,1143100
PROP-10410,2562,5,3,2002,0.25,8,2.79,0.88,1133200
PROP-10411,1368,3,2,1979,3.58,3,8.69,0.19,769300
PROP-10412,1102,1,1,1952,9.8,3,2.75,0.42,408000
PROP-10413,2930,4,2,1992,0.2,6,2.45,0.68,1129900
PROP-10414,2316,4,3,1956,4.53,6,2.86,0.13,895000
PROP-10415,1613,3,2,1998,3.75,5,5.58,0.72,817700
PROP-10416,3108,6,5,2022,4.61,4,2.12,0.58,1261900
PROP-10417,2175,4,2,1990,1.54,5,9.44,0.36,1017500
PROP-10418,2866,5,4,2003,6.01,5,9.7,0.83,1312000
PROP-10419,2143,3,1,2018,0.2,3,9.76,0.36,1034200
PROP-10420,3439,6,5,1976,4.93,6,1.35,0.99,1304800
PROP-10421,3240,6,4,1957,1.09,6,9.52,0.83,1406100
PROP-10422,1938,3,3,1981,2.27,6,9.98,0.74,1030400
PROP-10423,2731,5,4,2013,6.05,2,9.48,0.16,1213000
PROP-10424,2519,3,2,1959,1.11,7,7.04,0.91,1088400
PROP-10425,2989,5,3,1962,0.72,3,7.31,0.81,1263200
PROP-10426,1472,3,2,2012,4.0,8,2.1,0.31,726200
PROP-10427,2545,4,3,1984,2.67,5,8.87,0.45,1122900
PROP-10428,2787,5,4,2010,2.53,6,1.54,0.34,1087800
PROP-10429,956,1,1,2003,1.04,6,3.86,0.99,598400
PROP-10430,1330,3,2,1957,0.2,6,9.92,0.87,790700
PROP-10431,774,1,1,1978,1.85,3,4.8,0.94,455300
PROP-10432,1924,3,2,1990,0.39,6,2.18,0.81,812900
PROP-10433,2566,4,3,1979,8.28,4,9.72,0.51,1131700
PROP-10434,3076,5,4,1970,0.2,5,9.86,0.28,1359300
PROP-10435,2148,3,3,1960,1.98,3,2.68,0.29,776800
PROP-10436,3158,5,4,1951,0.2,5,8.78,0.24,1311700
PROP-10437,1202,2,1,1999,0.35,10,4.51,0.59,707700
PROP-10438,992,1,1,1990,3.76,9,4.43,0.93,595900
PROP-10439,2063,2,2,2015,3.65,4,3.36,0.99,865000
PROP-10440,2349,5,3,1952,0.2,2,1.4,0.36,834400
PROP-10441,2078,4,3,2000,0.2,2,3.41,0.73,903500
PROP-10442,756,1,1,2017,0.29,7,1.48,0.64,464200
PROP-10443,2042,4,3,1974,5.04,4,9.32,0.54,999100
PROP-10444,1252,2,1,1979,3.07,5,6.96,0.7,686500
PROP-10445,2535,4,3,1960,0.2,2,8.98,0.43,1044200
PROP-10446,2338,4,3,1966,2.34,9,7.46,0.95,1124500
PROP-10447,1489,2,2,1975,4.36,2,2.18,0.73,583700
PROP-10448,1765,2,2,1972,7.11,6,9.47,0.78,903600
PROP-10449,1411,2,2,2005,9.52,7,9.1,0.32,809100
PROP-10450,2059,3,2,2001,1.39,3,4.13,0.25,874900
PROP-10451,2720,4,3,1997,0.51,8,2.0,0.45,1120600
PROP-10452,1459,2,2,1969,0.95,8,7.34,0.79,831900
PROP-10453,2427,4,3,1951,5.24,2,7.56,0.94,992100
PROP-10454,1755,3,3,1980,12.45,5,9.07,0.48,887200
PROP-10455,1584,4,3,1976,2.2,5,1.47,0.8,764500
PROP-10456,2030,3,2,1951,1.28,6,2.28,0.52,816100
PROP-10457,1427,3,2,1953,1.96,2,6.38,0.37,680700
PROP-10458,1740,3,2,1962,1.27,2,6.57,0.77,769900
PROP-10459,1321,2,2,1984,1.04,8,1.3,0.82,679200
PROP-10460,3377,6,5,2021,3.15,10,4.57,0.28,1508200
PROP-10461,2122,4,4,2015,0.2,2,6.26,0.37,992300
PROP-10462,1645,3,3,1955,1.05,3,7.64,0.55,797100
PROP-10463,2239,3,3,1980,3.79,7,3.85,0.27,914000
PROP-10464,2026,4,3,1959,0.2,7,5.36,0.94,963300
PROP-10465,1956,4,3,1970,0.3,3,8.33,0.63,956700
PROP-10466,2499,4,3,2023,1.22,10,9.59,0.21,1272300
PROP-10467,2592,4,3,1972,7.36,5,3.07,0.27,953100
PROP-10468,1755,3,2,1952,5.07,8,3.28,0.96,792500
PROP-10469,1725,3,2,1981,0.2,7,9.46,0.76,965300
PROP-10470,1921,4,3,1969,2.44,4,4.56,0.76,821700
PROP-10471,750,3,3,2023,1.12,9,7.47,0.17,717500
PROP-10472,1115,1,1,1978,3.66,8,6.51,0.91,678800
PROP-10473,2988,4,3,2001,4.47,10,3.57,0.5,1288900
PROP-10474,3169,5,4,1995,6.95,4,6.88,0.69,1293300
PROP-10475,1938,4,3,1983,2.26,2,6.9,0.96,959000
PROP-10476,2474,4,3,2010,18.18,3,6.33,0.19,988700
PROP-10477,2302,5,4,2021,13.69,2,1.9,0.53,870600
PROP-10478,4101,6,4,2020,7.48,6,9.96,0.14,1685700
PROP-10479,2827,5,4,2019,2.99,3,4.6,0.55,1149200
PROP-10480,2016,3,2,1960,1.78,4,6.74,0.33,865900
PROP-10481,1478,3,2,2012,1.59,9,8.97,0.92,964500
PROP-10482,1055,3,2,1970,0.2,6,4.81,0.46,622300
PROP-10483,2232,3,2,1952,1.0,5,7.97,0.67,959000
PROP-10484,1608,2,1,1959,4.44,6,9.75,0.87,806800
PROP-10485,1175,2,1,1976,3.24,7,4.23,0.99,644200
PROP-10486,1679,3,2,1961,8.69,8,4.65,0.55,793700
PROP-10487,1396,2,1,1956,0.2,10,9.15,0.51,823500
PROP-10488,3196,5,4,1966,0.59,2,2.44,0.17,1077200
PROP-10489,2673,3,2,2014,5.45,5,1.26,0.11,949900
PROP-10490,2094,3,2,2013,1.55,10,9.18,0.65,1162200
PROP-10491,3061,5,3,1975,0.44,6,8.39,0.16,1288200
PROP-10492,2150,3,2,1964,19.74,9,9.75,0.44,990100
PROP-10493,1540,3,2,1982,5.42,2,1.52,0.1,589000
PROP-10494,3090,4,3,2011,1.84,5,2.41,0.65,1189600
PROP-10495,2450,5,4,1996,6.07,10,1.95,0.48,1124200
PROP-10496,1425,2,1,1984,3.99,2,7.15,0.21,645600
PROP-10497,1976,3,3,2014,5.46,2,6.45,0.37,866400
PROP-10498,1530,3,1,2021,5.91,5,4.23,0.61,766500
PROP-10499,1201,2,1,1974,0.31,4,1.52,0.69,520400
PROP-10500,2702,5,3,2006,3.41,8,6.76,0.52,1216100
PROP-10501,3341,6,4,1981,0.2,4,6.13,0.82,1381600
PROP-10502,1190,2,1,2012,0.2,2,2.02,0.2,508800
PROP-10503,2465,4,3,1961,8.2,3,9.18,0.18,1010300
PROP-10504,1677,2,1,2012,2.62,5,2.79,0.14,713800
PROP-10505,1783,2,2,1950,4.66,2,7.69,0.58,759000
PROP-10506,1714,5,4,2000,6.38,2,8.97,0.74,880600
PROP-10507,1538,3,2,2019,10.46,9,6.22,0.22,814100
PROP-10508,2131,3,3,1957,7.12,8,3.22,0.68,946600
PROP-10509,1559,2,1,2017,2.31,9,3.78,0.53,801100
PROP-10510,2275,4,3,1954,1.43,5,8.97,0.99,1108900
PROP-10511,2067,4,3,1988,0.59,7,3.68,0.75,967500
PROP-10512,1944,4,3,1972,1.79,4,7.72,0.69,971900
PROP-10513,1510,2,1,2017,1.6,9,9.91,0.61,953200
PROP-10514,1725,3,2,2001,2.87,5,10.0,1.0,935600
PROP-10515,2591,5,3,1953,3.83,4,5.8,0.98,1087300
PROP-10516,2425,4,3,1996,13.41,5,8.44,0.58,1058700
PROP-10517,1464,1,1,1970,4.56,7,9.91,0.51,824400
PROP-10518,2164,3,2,2005,3.61,8,4.37,0.52,986400
PROP-10519,2588,4,3,2015,1.43,8,3.27,0.49,1131200
PROP-10520,1014,2,1,2008,0.2,5,2.03,0.58,522500
PROP-10521,2453,6,5,1956,1.19,9,2.27,0.35,1104900
PROP-10522,1669,3,2,1998,5.12,8,8.68,0.93,945100
PROP-10523,2470,4,4,1965,0.8,3,6.3,0.54,999800
PROP-10524,1603,3,3,1966,4.36,9,8.86,0.86,893900
PROP-10525,926,2,2,1983,3.03,10,8.11,0.53,690000
PROP-10526,1042,2,1,1982,0.66,6,7.06,0.75,674000
PROP-10527,2131,4,3,1975,1.06,5,6.48,0.4,996900
PROP-10528,2268,5,4,2015,2.4,5,1.44,0.66,991600
PROP-10529,1512,2,1,2012,1.9,5,8.85,0.55,840200
PROP-10530,2515,4,3,1990,5.28,7,4.76,0.43,1114200
PROP-10531,1020,1,1,2007,4.64,5,6.04,0.89,617700
PROP-10532,2057,4,3,1959,2.99,8,1.2,0.2,861100
PROP-10533,1312,2,1,1964,6.05,8,9.42,0.54,767000
PROP-10534,1676,3,3,1991,2.89,6,9.12,0.27,908000
PROP-10535,2130,3,2,2006,11.67,6,5.89,0.87,945600
PROP-10536,1540,3,2,1966,0.86,9,6.2,0.33,876400
PROP-10537,1850,4,3,2009,4.38,8,7.35,0.67,982500
PROP-10538,2754,4,3,1958,1.62,8,3.38,0.25,1107700
PROP-10539,1725,3,3,1985,1.14,7,3.0,0.46,775700
PROP-10540,2643,4,3,2022,0.7,8,7.07,0.91,1252700
PROP-10541,1365,2,2,1985,2.81,8,1.94,0.25,670700
PROP-10542,2444,4,2,1997,0.85,3,5.09,0.7,967300
PROP-10543,3037,5,4,2000,0.78,3,5.43,0.28,1253400
PROP-10544,750,3,2,2019,16.31,8,4.43,0.47,595100
PROP-10545,1582,3,2,2023,5.66,8,2.67,0.59,801800
PROP-10546,2475,3,2,2017,4.83,8,4.2,0.62,1108900
PROP-10547,1968,3,2,1971,5.53,6,4.04,0.64,844300
PROP-10548,2341,5,4,1955,12.15,2,5.49,0.68,949900
PROP-10549,1707,4,3,1975,2.98,3,7.07,0.34,834900
PROP-10550,2156,3,3,1952,0.87,10,9.71,0.46,1098200
PROP-10551,1998,2,2,2001,6.94,9,2.3,0.13,835500
PROP-10552,2859,6,5,2023,4.75,9,8.86,0.79,1470500
PROP-10553,2265,4,3,2009,1.87,2,3.56,0.85,945200
PROP-10554,2319,3,2,2012,2.25,7,6.32,0.28,1053300
PROP-10555,1832,3,2,2014,1.85,10,5.92,0.28,965100
PROP-10556,1783,1,1,2001,9.3,9,6.01,0.14,839800
PROP-10557,1818,3,2,1963,1.47,4,7.51,0.97,837300
PROP-10558,2356,4,3,2021,11.59,5,4.44,0.83,1012100
PROP-10559,1826,4,3,2017,8.44,4,3.87,0.42,835200
PROP-10560,2288,3,2,1977,3.48,7,8.68,0.53,1036600
PROP-10561,3449,6,5,2020,3.03,10,2.98,0.36,1473000
PROP-10562,2666,4,3,1959,1.62,9,2.62,0.64,1071200
PROP-10563,1888,3,2,2006,0.2,5,1.14,0.75,806900
PROP-10564,2880,4,3,2015,0.48,3,2.9,0.5,1172300
PROP-10565,1834,3,2,1999,4.91,9,5.67,0.89,938300
PROP-10566,775,1,1,1963,2.23,9,5.85,0.57,524600
PROP-10567,1444,3,2,1965,0.57,7,3.29,0.23,694000
PROP-10568,883,2,2,2003,1.07,9,1.65,0.66,587200
PROP-10569,1871,3,2,1992,10.34,10,7.7,0.52,945500
PROP-10570,2111,4,3,1991,1.6,2,7.82,0.94,946100
PROP-10571,3189,4,3,1971,8.34,10,9.98,0.45,1387000
PROP-10572,2312,4,3,2017,1.27,3,9.1,0.46,1103900
PROP-10573,1957,3,2,1968,2.74,2,9.33,0.69,889800
PROP-10574,2639,6,4,2015,0.2,9,8.18,0.57,1368900
PROP-10575,750,1,1,1988,2.58,9,6.54,0.44,596700
PROP-10576,2253,5,3,2022,3.55,5,2.16,0.99,995200
PROP-10577,2601,5,4,1968,0.93,9,6.6,0.37,1166100
PROP-10578,1138,2,1,1965,3.03,8,1.5,0.35,550500
PROP-10579,2843,6,5,2003,3.65,3,8.97,0.88,1365600
PROP-10580,2320,4,3,1974,4.06,6,5.34,0.1,1012300
PROP-10581,1830,3,2,1967,5.24,5,7.28,0.28,823100
PROP-10582,2511,4,3,1972,1.31,4,1.47,0.63,945800
PROP-10583,3575,6,5,1960,2.94,2,5.81,0.25,1361900
PROP-10584,2218,4,3,1988,13.98,6,3.71,0.99,970000
PROP-10585,2261,3,3,2017,7.99,9,3.56,0.52,1005700
PROP-10586,1801,2,2,1974,10.68,10,4.51,0.64,828400
PROP-10587,1547,2,2,2012,1.71,8,1.01,0.24,715800
PROP-10588,2639,4,3,1979,5.41,2,5.2,0.36,1013100
PROP-10589,1543,3,2,1994,3.39,2,5.38,0.65,736800
PROP-10590,2146,4,3,2010,0.3,2,8.77,0.59,1041100
PROP-10591,1789,3,2,2000,6.08,3,5.04,0.81,763000
PROP-10592,2411,4,3,1958,3.96,2,4.27,0.34,894200
PROP-10593,2316,4,2,1951,0.78,5,9.95,0.69,1058300
PROP-10594,2774,5,4,1954,0.29,10,6.14,0.36,1195400
PROP-10595,1768,2,2,2011,6.35,5,5.25,0.63,845300
PROP-10596,1924,3,2,2018,0.29,5,5.46,0.64,925200
PROP-10597,1463,3,3,2001,0.34,8,8.28,0.21,883000
PROP-10598,1811,4,3,1954,1.95,10,4.07,0.59,919900
PROP-10599,2345,4,4,2008,0.51,8,4.5,0.11,1100400
PROP-10600,2592,3,2,2017,8.57,2,7.8,0.55,1036400
PROP-10601,1500,3,3,1958,2.22,2,1.66,0.73,618500
PROP-10602,2665,4,4,1971,2.95,5,8.79,0.17,1213100
PROP-10603,2981,4,4,1976,9.21,5,4.87,0.94,1182100
PROP-10604,2368,4,3,1959,2.64,2,6.23,0.51,958800
PROP-10605,3319,5,4,2010,1.53,7,7.82,0.94,1480100
PROP-10606,1597,2,1,2000,5.58,3,3.39,0.2,612000
PROP-10607,1290,1,1,1959,2.05,6,9.01,0.95,734300
PROP-10608,943,2,2,1955,1.34,9,9.81,0.2,686200
PROP-10609,3072,6,4,2011,4.5,4,5.45,0.52,1281100
PROP-10610,2525,5,4,1954,5.66,10,9.43,0.94,1266100
PROP-10611,2063,3,1,2019,5.49,8,1.01,0.31,862200
PROP-10612,2281,4,4,2012,13.31,10,9.05,0.13,1182400
PROP-10613,1368,2,1,2005,5.41,2,3.8,0.81,581200
PROP-10614,3689,6,5,2008,5.14,6,3.8,0.64,1476100
PROP-10615,2183,4,3,2012,6.82,4,3.05,0.56,939300
PROP-10616,2171,3,3,2008,0.2,5,3.85,0.13,911000
PROP-10617,2571,4,2,2000,1.58,5,2.92,0.69,1075500
PROP-10618,2412,4,3,1999,4.68,8,9.15,0.25,1153600
PROP-10619,2245,5,4,1953,3.2,9,9.09,0.94,1207900
PROP-10620,1586,3,2,1997,0.68,6,1.92,0.72,713000
PROP-10621,2406,4,4,1981,1.27,8,2.29,0.74,1048000
PROP-10622,3323,6,4,2000,1.44,4,8.76,0.31,1417300
PROP-10623,2974,6,5,2001,2.94,4,4.59,0.89,1232700
PROP-10624,3135,5,4,2023,6.23,4,2.52,0.58,1240400
PROP-10625,1767,2,2,1983,9.43,5,5.6,0.87,812200
PROP-10626,1456,3,2,1985,4.85,7,4.75,0.34,751600
PROP-10627,2018,4,3,2019,6.48,6,2.97,0.78,916800
PROP-10628,2136,3,3,1992,2.22,9,7.49,0.62,1065600
PROP-10629,2811,4,3,1965,1.73,6,6.68,0.14,1189400
PROP-10630,999,2,1,2008,1.75,6,1.9,0.46,537100
PROP-10631,3094,5,4,2002,3.35,3,9.33,0.27,1311800
PROP-10632,1997,3,2,1968,0.46,6,6.03,0.42,908700
PROP-10633,1822,3,3,1990,3.03,8,3.25,0.45,819900
PROP-10634,1442,3,2,1996,3.83,3,2.86,0.53,643900
PROP-10635,1024,2,1,2003,2.02,7,2.22,0.64,581700
PROP-10636,2635,5,4,2004,10.71,8,4.82,0.61,1164000
PROP-10637,2147,4,3,1968,3.28,6,2.22,0.14,883400
PROP-10638,1261,1,1,2011,0.87,10,4.74,0.78,772600
PROP-10639,1258,2,1,2008,2.28,5,2.34,0.95,623400
PROP-10640,1881,4,3,2014,3.94,2,6.91,0.41,940200
PROP-10641,3184,5,4,2017,1.37,9,8.07,0.26,1494000
PROP-10642,1931,3,2,1977,0.29,9,5.95,0.59,971800
PROP-10643,1122,1,1,1967,3.07,8,7.12,0.73,678400
PROP-10644,1940,3,3,1975,10.34,9,9.45,0.71,1016000
PROP-10645,1922,3,3,1968,2.32,3,6.75,0.65,853400
PROP-10646,750,1,1,2004,8.28,4,4.28,0.23,443500
PROP-10647,2064,3,2,2006,6.31,10,5.05,0.85,1004200
PROP-10648,1949,3,2,1955,0.56,2,8.74,0.48,844200
PROP-10649,2552,5,4,1950,4.31,9,2.18,0.3,1029900
PROP-10650,3301,5,4,1957,2.0,9,3.93,0.18,1298300
PROP-10651,2832,6,5,2000,1.01,8,6.2,0.48,1370700
PROP-10652,1925,4,3,1974,4.06,6,7.09,0.66,968600
PROP-10653,1380,3,2,1996,4.75,5,7.87,0.7,784500
PROP-10654,3772,6,5,2004,0.69,7,3.86,0.97,1554500
PROP-10655,2138,4,4,2013,8.61,2,2.31,0.24,863000
PROP-10656,2109,3,2,1959,4.87,6,9.59,0.99,993400
PROP-10657,2084,4,3,2005,9.48,5,1.69,0.69,829300
PROP-10658,2228,4,3,1961,1.33,5,1.86,0.51,904900
PROP-10659,2006,4,3,1982,9.81,8,5.45,0.9,927500
PROP-10660,1727,2,2,2020,1.61,10,8.37,0.73,1011600
PROP-10661,1744,2,1,1966,0.2,9,7.97,0.41,876300
PROP-10662,2078,4,3,2010,5.04,9,9.44,0.9,1155700
PROP-10663,1746,2,1,1959,4.26,6,2.27,0.7,684200
PROP-10664,1636,3,3,1980,3.19,7,4.38,0.73,832000
PROP-10665,2169,3,2,2009,2.36,3,3.54,0.91,842600
PROP-10666,1934,4,3,2019,0.2,4,8.75,0.5,1045900
PROP-10667,3077,4,4,1966,3.43,6,5.4,0.69,1264400
PROP-10668,750,2,1,1999,1.89,3,1.24,0.77,420000
PROP-10669,2809,5,4,1986,2.88,4,7.37,0.51,1238000
PROP-10670,2909,4,3,2011,1.96,5,4.5,0.18,1182800
PROP-10671,752,2,1,2021,11.84,7,5.78,0.79,542700
PROP-10672,1877,3,2,1978,3.24,6,9.04,0.14,939800
PROP-10673,1858,3,2,1981,4.84,5,3.31,0.75,799100
PROP-10674,1185,1,1,1960,9.64,3,3.16,0.92,494600
PROP-10675,1594,1,1,1955,3.13,6,3.37,0.41,662100
PROP-10676,1378,3,3,1984,0.2,6,4.04,0.19,716600
PROP-10677,3238,4,3,1982,0.2,8,1.97,0.31,1250200
PROP-10678,2708,5,4,1967,4.24,2,7.27,0.61,1137500
PROP-10679,2926,5,4,1986,1.15,5,2.87,0.95,1213100
PROP-10680,2569,5,4,1962,3.03,6,9.34,0.56,1247800
PROP-10681,1366,2,1,2023,0.79,9,2.94,0.2,739000
PROP-10682,1759,3,3,2013,1.1,9,3.3,0.67,922700
PROP-10683,2418,4,3,1950,2.46,2,3.67,0.76,908700
PROP-10684,1305,2,1,2012,12.99,6,7.92,0.45,707100
PROP-10685,2563,4,3,1983,3.35,2,4.85,0.75,1000200
PROP-10686,1943,4,3,1959,9.63,2,8.37,0.39,775900
PROP-10687,1856,2,1,1956,11.21,3,8.06,0.81,755300
PROP-10688,2562,5,3,2005,0.82,3,9.37,0.41,1177700
PROP-10689,2388,4,3,1986,1.3,10,7.81,0.33,1170600
PROP-10690,1865,2,1,1978,5.14,5,1.47,0.89,725400
PROP-10691,2853,5,4,1961,7.05,4,8.54,0.59,1190700
PROP-10692,1397,2,2,1966,2.56,2,9.44,0.36,696600
PROP-10693,2500,4,3,1997,17.48,3,9.94,0.94,1049800
PROP-10694,2485,4,3,1975,0.2,7,2.13,0.72,1036200
PROP-10695,1898,4,3,1961,1.25,10,6.52,0.3,956800
PROP-10696,2311,5,4,1970,3.42,6,2.8,0.65,969200
PROP-10697,1286,1,1,1991,2.22,5,3.36,0.88,624600
PROP-10698,2700,5,4,2010,0.43,6,7.71,0.73,1256900
PROP-10699,1979,4,3,2007,1.6,10,9.8,0.32,1144400
PROP-10700,1760,3,2,2003,0.2,8,6.35,0.68,905300
PROP-10701,2781,5,3,1983,3.6,9,8.66,0.66,1306100
PROP-10702,1642,4,3,1956,7.81,5,1.08,0.84,660300
PROP-10703,1184,3,2,1984,7.57,9,1.33,0.26,590200
PROP-10704,1088,2,2,1964,4.21,7,6.37,0.73,690000
PROP-10705,2493,5,4,2014,2.19,6,4.5,0.12,1072400
PROP-10706,1267,2,2,1974,2.51,8,9.01,0.73,838900
PROP-10707,3240,5,4,2008,0.52,7,3.72,0.96,1337000
PROP-10708,750,1,1,1955,1.46,4,4.89,0.26,433200
PROP-10709,3202,6,4,2001,0.73,6,5.75,0.38,1386300
PROP-10710,2237,3,2,1970,6.03,10,3.46,0.62,977900
PROP-10711,2037,4,3,2020,8.62,8,9.18,0.76,1073600
PROP-10712,1745,3,2,1981,2.69,5,5.18,0.41,806300
PROP-10713,2359,3,2,2002,4.55,8,4.82,0.7,1110600
PROP-10714,2075,4,3,2008,0.45,6,8.65,0.91,1095400
PROP-10715,2817,3,2,2018,3.28,3,3.81,0.75,1085300
PROP-10716,2174,4,4,2011,4.25,7,8.36,0.74,1129800
PROP-10717,2197,4,3,1953,2.11,8,2.1,0.44,926400
PROP-10718,1863,3,3,1967,0.98,9,2.65,0.92,877500
PROP-10719,2062,4,3,2005,7.35,7,9.56,0.35,1078600
PROP-10720,2300,5,4,1973,4.75,9,8.58,0.28,1150400
PROP-10721,988,1,1,2015,8.05,8,4.49,0.43,564600
PROP-10722,1223,1,1,1962,5.97,3,6.75,0.69,636100
PROP-10723,2583,5,4,2011,16.25,7,9.49,0.88,1241300
PROP-10724,2211,5,4,2003,0.75,10,2.91,0.22,1146000
PROP-10725,1980,3,1,1964,0.32,7,1.53,0.83,811500
PROP-10726,2111,4,3,2018,1.44,5,5.84,0.83,1038700
PROP-10727,2325,5,4,1952,0.48,8,2.28,0.63,997600
PROP-10728,1749,2,2,1986,2.59,4,2.69,0.78,716100
PROP-10729,1594,2,2,1986,3.51,6,9.02,0.26,840700
PROP-10730,2227,4,3,1952,3.02,2,1.07,0.25,754500
PROP-10731,1464,3,2,2012,1.05,4,8.35,0.88,821500
PROP-10732,2365,4,3,1984,8.38,9,5.65,0.55,1122300
PROP-10733,993,1,1,2001,0.2,10,6.03,0.32,698500
PROP-10734,2768,6,5,1977,1.5,10,7.05,0.72,1383700
PROP-10735,2407,4,3,1967,4.44,3,4.88,0.9,1004100
PROP-10736,2266,4,3,1985,5.1,5,2.04,0.67,897600
PROP-10737,2738,5,4,1982,1.88,6,1.93,0.41,1057900
PROP-10738,3182,6,4,2013,0.2,4,7.79,0.53,1379000
PROP-10739,2759,5,4,1975,3.37,2,2.99,0.78,1059500
PROP-10740,903,2,2,1997,0.23,7,1.25,0.16,538000
PROP-10741,1268,2,2,1989,0.4,3,9.82,0.3,739900
PROP-10742,1693,3,2,1966,3.68,10,9.82,0.52,1042900
PROP-10743,2116,4,3,1989,1.31,2,4.4,0.64,883000
PROP-10744,2436,3,3,1956,1.5,10,1.23,0.41,1000300
PROP-10745,1628,3,2,2006,2.33,8,7.55,0.37,892400
PROP-10746,2221,4,3,1957,13.45,3,8.48,0.14,933700
PROP-10747,1609,2,1,2005,11.78,7,2.13,0.13,659300
PROP-10748,1702,3,2,1980,1.88,9,2.22,0.35,781900
PROP-10749,1185,2,2,2008,1.08,3,8.4,0.58,700800
PROP-10750,1499,4,3,2007,1.26,6,9.3,0.6,934300
PROP-10751,1221,3,2,1961,1.1,7,8.12,0.54,769200
PROP-10752,1465,2,1,1997,2.66,4,2.81,0.47,606800
PROP-10753,2784,5,4,1980,3.27,3,4.7,0.33,1108200
PROP-10754,1482,2,1,2012,2.35,7,6.41,0.46,807700
PROP-10755,3811,6,5,2023,1.83,4,2.44,0.22,1468000
PROP-10756,2420,4,2,1988,0.83,3,2.9,0.2,966600
PROP-10757,2220,3,3,1969,2.31,2,3.55,0.37,861300
PROP-10758,1542,2,1,1997,1.46,9,5.59,1.0,828700
PROP-10759,2555,5,4,2020,2.73,2,5.6,0.39,1087900
PROP-10760,1725,3,2,2003,3.94,6,8.33,0.94,917600
PROP-10761,2179,3,3,2020,3.51,7,7.78,0.45,1070400
PROP-10762,3764,6,5,1978,2.17,4,9.22,0.5,1562900
PROP-10763,2037,3,2,2023,2.84,8,8.5,0.82,1093600
PROP-10764,2847,5,3,2022,1.17,3,3.28,0.18,1144700
PROP-10765,1642,3,2,1997,0.2,8,3.98,0.26,836100
PROP-10766,2077,3,2,2023,3.43,3,5.5,0.98,968000
PROP-10767,3251,6,4,2005,1.02,6,1.13,0.56,1257300
PROP-10768,1692,3,3,1966,3.87,8,9.14,0.14,961100
PROP-10769,3278,5,4,1958,4.81,4,1.4,0.14,1129000
PROP-10770,2560,4,3,1983,8.67,5,3.9,0.92,1041100
PROP-10771,1734,2,1,1994,11.11,2,6.12,0.89,722400
PROP-10772,2511,4,3,1958,0.2,4,5.66,0.51,1032000
PROP-10773,2732,4,3,1956,16.25,10,6.89,0.25,1162500
PROP-10774,2504,4,2,1965,4.02,6,5.75,0.85,1017300
PROP-10775,1079,2,2,1968,3.61,9,3.06,0.39,577700
PROP-10776,1627,3,2,1955,0.2,3,2.81,0.48,675400
PROP-10777,1939,3,3,1960,6.91,4,9.17,0.71,922800
PROP-10778,2051,3,2,2010,0.55,8,3.38,0.42,934400
PROP-10779,2503,4,2,1991,6.36,5,3.53,0.67,966300
PROP-10780,2215,4,3,1962,0.2,10,4.72,0.9,1051200
PROP-10781,1232,2,2,1961,3.63,8,2.25,0.82,631700
PROP-10782,2347,3,2,2023,2.0,2,5.57,0.44,964200
PROP-10783,2496,4,3,1969,0.78,5,6.99,0.36,1116200
PROP-10784,2463,4,4,1999,0.4,7,8.07,0.36,1221400
PROP-10785,2802,4,3,1985,2.03,7,7.4,0.41,1220700
PROP-10786,2642,4,3,2018,0.46,7,2.33,0.54,1100700
PROP-10787,2398,3,2,1986,2.33,6,5.1,0.47,939600
PROP-10788,2054,3,1,1961,3.43,4,1.35,0.22,691300
PROP-10789,1020,2,1,1989,6.15,3,1.16,0.25,385400
PROP-10790,2379,4,3,2003,3.97,4,4.96,0.41,975600
PROP-10791,2234,3,2,1951,0.24,10,3.28,0.61,963900
PROP-10792,2276,4,3,1999,1.29,4,7.15,0.63,1060000
PROP-10793,1270,2,2,1990,1.19,4,7.52,0.54,758400
PROP-10794,1397,2,1,1994,8.63,2,9.06,0.76,710400
PROP-10795,2784,4,2,1958,7.08,3,7.85,0.76,1051000
PROP-10796,2074,4,3,2011,1.62,4,1.43,0.48,845900
PROP-10797,2542,3,1,1996,0.26,3,4.34,0.21,979700
PROP-10798,2118,3,1,1954,7.86,9,3.46,0.58,862600
PROP-10799,2119,4,3,1950,7.67,7,4.48,0.44,923500
PROP-10800,2709,5,4,1993,6.75,8,2.44,0.22,1106400
PROP-10801,1764,5,4,1971,6.53,2,1.88,0.98,770800
PROP-10802,2162,4,2,1987,2.29,7,5.69,0.43,995500
PROP-10803,1799,2,1,1968,0.68,3,7.48,0.66,808300
PROP-10804,1817,3,2,1980,2.27,7,7.32,0.54,917300
PROP-10805,1899,2,1,2016,2.39,4,5.06,0.23,800800
PROP-10806,2244,4,3,1991,2.36,8,5.7,0.15,1043000
PROP-10807,1788,2,2,1975,2.71,4,5.65,0.66,801100
