order_id,pickup_x,pickup_y,dropoff_x,dropoff_y,package_weight_kg,promised_window_hr
ORD-1479,26.15,29.84,21.78,42.1,20.0,2
ORD-1480,31.47,16.71,40.89,9.31,7.3,2
ORD-1481,34.79,38.55,6.01,40.13,22.0,4
ORD-1482,22.73,5.33,27.22,22.91,23.6,4
ORD-1483,31.38,3.76,0.29,24.15,4.1,2
ORD-1484,29.22,36.41,16.23,6.67,11.8,1
ORD-1485,45.06,24.77,18.32,4.03,24.5,4
ORD-1486,2.27,34.42,19.81,36.4,12.3,1
ORD-1487,14.05,21.74,34.77,24.82,21.7,1
ORD-1488,47.52,12.32,19.43,21.84,14.9,4
ORD-1489,44.51,40.96,22.43,36.48,9.7,1
ORD-1490,22.78,39.97,11.88,38.28,7.5,1
ORD-1491,31.01,34.73,18.66,7.95,5.5,2
ORD-1492,13.87,13.61,11.36,30.51,19.2,1
ORD-1493,9.41,29.51,3.66,6.77,10.0,2
ORD-1494,23.18,18.05,30.17,37.57,13.0,4
ORD-1495,17.67,4.58,33.41,32.85,12.6,4
ORD-1496,29.18,45.87,30.97,47.83,14.6,2
ORD-1497,3.89,6.84,23.17,3.45,21.7,4
ORD-1498,48.72,47.51,18.99,2.85,24.5,1
ORD-1499,49.31,22.3,43.17,14.11,10.5,1
